Model,Misclass_Err,FPR,FNR
Uni-Log (Age),0.2020125786163522,0.7359700694815606,0.04689176218169499
Multi-Log,0.18392124692370795,0.5506049268743015,0.07739540398622326
Ridge,0.18587913590374625,0.5958894125649872,0.06676641635142003
Lasso,0.18462127426852612,0.5628978183761721,0.07472757043645192
Ordinary Tree,0.1799179655455291,0.5986589572907051,0.05826887245214838
Random Forest,0.17218485097074104,0.5550750692386182,0.06095082152334707
Boosting,0.16989882417281926,0.5354453136387931,0.06370334820168257
